nombre_cancion,nombre_artista,genero,mood,contexto,energia,valencia,danceability,instrumentalidad,intensidad,idioma
Lovebombing,turrobaby,['electronic'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.6,inglés
Lover Girl,Laufey,"['pop', 'indie', 'singer-songwriter']","['romantico', 'amoroso', 'suave']","['casa', 'relax', 'romance']",0.5,0.8,0.2,0.1,0.3,ingles
"Lover, You Should've Come Over",Jeff Buckley,"['rock', 'alternativo', 'singer-songwriter']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.2,0.4,0.1,0.8,0.6,ingles
Lovers Rock,TV Girl,"['indie', 'singer-songwriter', 'punk']","['romantico', 'amoroso', 'fiestero']","['casa', 'relax', 'fiesta']",0.7,0.9,0.5,0.2,0.4,ingles
Love,The Something Specials,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'fiesta']",0.8,0.9,0.6,0.1,0.5,ingles
Loving Is Easy,Rex Orange County,"['pop', 'indie', 'singer-songwriter']","['romantico', 'amoroso', 'suave']","['casa', 'relax', 'romance']",0.4,0.7,0.3,0.2,0.3,ingles
Lágrimas desordenadas,Melendi,"['latin', 'reggaeton', 'urbano']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.3,0.5,0.2,0.1,0.4,espanol
Lágrimas Negras,Bebo Valdés,"['jazz', 'blues', 'classical']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.1,0.3,0.1,0.9,0.7,espanol
Mad Sounds,Arctic Monkeys,"['rock', 'alternativo', 'punk']","['energico', 'motivador', 'epico']","['gym', 'entrenar', 'fiesta']",0.9,0.8,0.7,0.2,0.8,ingles
Mala Mujer,C. Tangana,"['latin', 'reggaeton', 'urbano']","['romantico', 'amoroso', 'suave']","['casa', 'relax', 'romance']",0.6,0.8,0.4,0.1,0.5,espanol
Mardy Bum,Arctic Monkeys,"['rock', 'alternativo', 'punk']","['energico', 'motivador', 'epico']","['gym', 'entrenar', 'fiesta']",0.9,0.8,0.7,0.2,0.8,ingles
Marry You,Bruno Mars,"['pop', 'rock', 'soul']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.9,0.1,0.6,inglés
Mary On A Cross,Ghost,"['rock', 'metal', 'punk']","['triste', 'melancolico', 'oscuro']","['noche', 'madrugada', 'invierno']",0.4,0.2,0.2,0.8,0.9,inglés
Maulla,Gi Se,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'social']",0.9,0.8,0.8,0.2,0.7,coreano
me enamoré de alguien que también,your boo,"['pop', 'singer-songwriter', 'r&b']","['romantico', 'amoroso', 'sensual']","['cita', 'romance', 'relax']",0.6,0.9,0.5,0.5,0.4,español
Me Perdí En Madrid,Yung Beef,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'social']",0.9,0.8,0.8,0.2,0.7,español
Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,"['classical', 'instrumental', 'soundtrack']","['feliz', 'euforico', 'alegre']","['casa', 'relax', 'verano']",0.4,0.6,0.2,0.9,0.3,inglés
Message In A Bottle,The Police,"['rock', 'pop', 'soul']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.9,0.1,0.6,inglés
Mi Burrito Sabanero,Juana,"['latin', 'reggaeton', 'urbano']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.9,0.9,0.9,0.1,0.7,español
MI LISTA,Plex,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'social']",0.9,0.8,0.8,0.2,0.7,español
Midnight on a Sunny Day,Eyedress,"['indie', 'rock', 'pop']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.9,0.1,0.6,inglés
Mind Over Matter,Young the Giant,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'noche']",0.5,0.7,0.3,0.2,0.6,inglés
Mockingbird,Eminem,"['hip-hop', 'rap']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'concentracion']",0.8,0.2,0.1,0.1,0.9,inglés
MOJABI GHOST,Tainy,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.9,0.1,0.8,español
Mr. Loverman,Ricky Montgomery,"['pop', 'rock']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'noche']",0.6,0.8,0.5,0.3,0.5,inglés
My Band,D12,"['hip-hop', 'rap']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'concentracion']",0.9,0.2,0.1,0.1,0.9,inglés
My Favorite Sleep Noise,Brightlo,"['indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'noche']",0.4,0.6,0.2,0.4,0.4,inglés
My Kind of Woman,Mac DeMarco,"['indie', 'alternativo']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'noche']",0.7,0.8,0.4,0.2,0.5,inglés
My Mistakes Were Made For You,The Last Shadow Puppets,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'noche']",0.5,0.7,0.3,0.2,0.6,inglés
My Propeller,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'noche']",0.7,0.8,0.4,0.2,0.5,inglés
My Type,Saint Motel,"['pop', 'rock']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'noche']",0.6,0.8,0.5,0.3,0.5,inglés
New Home (Slowed),Austin Farwell,['indie'],"['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
New Home,Austin Farwell,['indie'],"['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
No One Noticed,The Marías,"['pop', 'latin']","['romantico', 'amoroso']","['cita', 'romance']",0.5,0.9,0.3,0.7,0.6,inglés
No Surprises,Radiohead,"['rock', 'alternativo']","['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
No. 1 Party Anthem,Arctic Monkeys,"['rock', 'punk']","['fiestero', 'divertido']","['fiesta', 'discoteca']",0.8,0.9,0.7,0.4,0.9,inglés
Noche de Paz,Los Niños Cantores De Navidad,['latin'],"['romantico', 'amoroso']","['cita', 'romance']",0.5,0.9,0.3,0.7,0.6,español
Nope your too late i already died,wifiskeleton,"['hip-hop', 'rap']","['agresivo', 'oscuro']","['gym', 'entrenar']",0.9,0.2,0.6,0.3,0.8,inglés
Not Allowed,TV Girl,['indie'],"['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Nothing's New,Rio Romeo,['singer-songwriter'],"['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Nothing,Bruno Major,['singer-songwriter'],"['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Notion,The Rare Occasions,"['indie', 'rock', 'pop']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.5,0.7,0.3,0.8,0.4,inglés
Ohnana,Kapo,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'fiesta']",0.9,0.6,0.8,0.2,0.9,inglés
On Melancholy Hill,Gorillaz,"['rock', 'pop', 'electronic']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.4,0.8,0.2,0.9,0.3,inglés
One For The Road,Arctic Monkeys,"['rock', 'pop', 'indie']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.6,0.7,0.4,0.7,0.5,inglés
One Point Perspective,Arctic Monkeys,"['rock', 'pop', 'indie']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.5,0.8,0.3,0.8,0.4,inglés
Opening Night,Arctic Monkeys,"['rock', 'pop', 'indie']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.7,0.9,0.5,0.6,0.6,inglés
Origami,The Rare Occasions,"['indie', 'rock', 'pop']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.3,0.6,0.1,0.9,0.2,inglés
Orilla,8belial,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'fiesta']",0.8,0.5,0.7,0.1,0.8,inglés
P.I.M.P.,50 Cent,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'fiesta']",0.9,0.4,0.9,0.2,0.9,inglés
Paranoid Android,Radiohead,"['rock', 'pop', 'electronic']","['melancolico', 'triste', 'relajado']","['casa', 'relax', 'noche']",0.5,0.8,0.3,0.9,0.4,inglés
PELIGROSA,FloyyMenor,['rock'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.7,0.9,0.1,0.6,español
Pero Mira Como Beben,Coral Cordobesa De Los Pedroches,['rock'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.7,0.9,0.1,0.6,español
Phonograph,Vlad Holiday,['indie'],"['relajado', 'chill']","['relax', 'noche']",0.4,0.6,0.5,0.8,0.3,inglés
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",The Smiths,['rock'],"['triste', 'melancolico']","['romance', 'cita']",0.2,0.5,0.3,0.2,0.1,inglés
Poker Face,Lady Gaga,['pop'],"['euforico', 'motivador']","['fiesta', 'discoteca']",0.9,0.8,0.95,0.1,0.7,inglés
Por la boca vive el pez,Fito y Fitipaldis,['rock'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.7,0.9,0.1,0.6,español
Por la Raja de Tu Falda,Estopa,['rock'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.7,0.9,0.1,0.6,español
Prom Queen,Beach Bunny,['indie'],"['relajado', 'chill']","['relax', 'noche']",0.4,0.6,0.5,0.8,0.3,inglés
Purple Rain,Prince,['rock'],"['triste', 'melancolico']","['romance', 'cita']",0.2,0.5,0.3,0.2,0.1,inglés
R U Mine?,Arctic Monkeys,['rock'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.7,0.9,0.1,0.6,inglés
Rara Vez,Milo j,"['latin', 'urbano', 'reggaeton']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.8,0.9,0.7,0.1,0.6,español
Real Bandido,Renzo ED,"['latin', 'urbano', 'reggaeton']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.9,0.8,0.8,0.2,0.7,español
Revenge,XXXTENTACION,"['hip-hop', 'rap', 'drill']","['triste', 'melancolico', 'oscuro']","['tristeza', 'desamor', 'concentracion']",0.4,0.2,0.3,0.8,0.9,inglés
Rosa Pastel,Belanova,"['pop', 'rock', 'indie']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.7,0.9,0.6,0.3,0.5,español
Sailor Song,Gigi Perez,"['folk', 'acoustic', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.6,0.8,0.5,0.7,0.4,inglés
Say You Love Me,Fleetwood Mac,"['rock', 'pop', 'indie']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.8,0.9,0.7,0.3,0.6,inglés
"Sea, Swallow Me - 2024 Remaster",Cocteau Twins,"['electronic', 'house', 'techno']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.9,0.8,0.8,0.9,0.7,inglés
Secret Door,Arctic Monkeys,"['rock', 'pop', 'indie']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.8,0.9,0.7,0.3,0.6,inglés
See You Again (feat. Kali Uchis),"Tyler, The Creator","['hip-hop', 'rap', 'drill']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.9,0.8,0.8,0.2,0.7,inglés
Selfless,The Strokes,"['rock', 'pop', 'indie']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'noche']",0.8,0.9,0.7,0.3,0.6,inglés
Set Fire to the Rain,Adele,"['pop', 'soul', 'r&b']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.2,0.8,0.4,0.6,0.7,ingles
Sex Toy,Kaydy Cain,"['rock', 'punk', 'other']","['agresivo', 'oscuro', 'intenso']","['fiesta', 'discoteca', 'social']",0.9,0.1,0.8,0.2,0.9,ingles
She's Always a Woman,Billy Joel,"['rock', 'singer-songwriter', 'other']","['romantico', 'amoroso', 'suave']","['casa', 'relax', 'romance']",0.3,0.9,0.5,0.5,0.6,ingles
She's Electric,Oasis,"['rock', 'indie', 'other']","['euforico', 'energico', 'motivador']","['fiesta', 'discoteca', 'social']",0.8,0.2,0.9,0.1,0.8,ingles
She's Thunderstorms,Arctic Monkeys,"['rock', 'indie', 'other']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.2,0.8,0.4,0.6,0.7,ingles
Shut up My Moms Calling,Hotel Ugly,"['pop', 'rock', 'other']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.2,0.8,0.4,0.6,0.7,ingles
"Silver Springs - Live at Warner Brothers Studios in Burbank, CA 5/23/97",Fleetwood Mac,"['rock', 'singer-songwriter', 'other']","['romantico', 'amoroso', 'suave']","['casa', 'relax', 'romance']",0.3,0.9,0.5,0.5,0.6,ingles
Skyfall,Adele,"['pop', 'soul', 'r&b']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.2,0.8,0.4,0.6,0.7,ingles
SLOW DANCING IN THE DARK,Joji,"['pop', 'rock', 'other']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.2,0.8,0.4,0.6,0.7,ingles
Snap Out Of It,Arctic Monkeys,"['rock', 'indie', 'other']","['euforico', 'energico', 'motivador']","['fiesta', 'discoteca', 'social']",0.8,0.2,0.9,0.1,0.8,ingles
Snowy Serenity,Lavender Balm,['indie'],"['relajado', 'calmado', 'chill']","['relax', 'casa']",0.2,0.8,0.1,0.9,0.3,other
Some Girls Are Bigger Than Others - Demo,The Smiths,"['rock', 'indie']","['triste', 'melancolico', 'nostalgico']","['casa', 'romance']",0.5,0.4,0.2,0.6,0.7,other
Someone Like You,Adele,"['pop', 'soul']","['triste', 'melancolico', 'romantico']","['casa', 'tristeza']",0.3,0.7,0.1,0.8,0.6,other
Something About You,Eyedress,"['pop', 'indie']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.4,0.8,other
SOUTH BEACH,FloyyMenor,"['hip-hop', 'rap']","['energico', 'motivador', 'epico']","['gym', 'entrenar']",0.9,0.6,0.8,0.2,0.9,other
Space Song,Beach House,"['indie', 'electronic']","['relajado', 'calmado', 'chill']","['relax', 'casa']",0.2,0.8,0.1,0.9,0.3,other
Sparrow,The Rare Occasions,"['indie', 'pop']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.4,0.8,other
Stan,Eminem,"['hip-hop', 'rap']","['energico', 'motivador', 'epico']","['gym', 'entrenar']",0.9,0.6,0.8,0.2,0.9,other
Starman - 2012 Remaster,David Bowie,"['rock', 'pop']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.4,0.8,other
Stephanie,Nafeesisboujee,"['hip-hop', 'rap']","['energico', 'motivador', 'epico']","['gym', 'entrenar']",0.9,0.6,0.8,0.2,0.9,other
Still Luvin,Delaossa,['indie'],"['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Stop The World I Wanna Get Off With You,Arctic Monkeys,"['rock', 'indie']","['euforico', 'energico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.9,inglés
Stuck on the puzzle,Alex Turner,"['rock', 'indie']","['triste', 'melancolico']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Study Help Focus White Noise (Loopable no fade),Dream Supplier,['electronic'],"['relajado', 'calmado']","['estudiar', 'trabajar']",0.1,0.5,0.1,1.0,0.1,inglés
Suck It and See,Arctic Monkeys,"['rock', 'indie']","['euforico', 'energico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.9,inglés
"Suite bergamasque, L. 75: Clair de lune",Claude Debussy,['classical'],"['romantico', 'amoroso']","['casa', 'relax']",0.2,0.8,0.1,1.0,0.3,francés
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"['pop', 'hip-hop']","['euforico', 'energico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.9,inglés
Sunsetz,Cigarettes After Sex,"['indie', 'singer-songwriter']","['romantico', 'amoroso']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Superman,Eminem,"['hip-hop', 'rap']","['agresivo', 'oscuro']","['fiesta', 'discoteca']",0.8,0.5,0.9,0.1,0.9,inglés
"Sweet Dreams, TN",The Last Shadow Puppets,"['indie', 'rock']","['romantico', 'amoroso']","['casa', 'relax']",0.2,0.8,0.1,0.9,0.3,inglés
Síguelo Bailando,Ozuna,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'fiestero']",0.8,0.9,0.9,0.1,0.7,español
Taking What's Not Yours,TV Girl,"['indie', 'alternativo', 'punk']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'tristeza']",0.4,0.3,0.2,0.8,0.5,inglés
Tal Vez,Paulo Londra,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'fiestero']",0.8,0.9,0.9,0.1,0.7,español
Tear in My Heart,Twenty One Pilots,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'tristeza']",0.6,0.5,0.5,0.7,0.6,inglés
Teddy Picker,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'tristeza']",0.4,0.3,0.2,0.8,0.5,inglés
Tek It,Cafuné,"['electronic', 'house', 'techno']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'fiestero']",0.9,0.9,0.9,0.9,0.8,inglés
Television / So Far So Good,Rex Orange County,"['indie', 'alternativo', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'fiesta']",0.7,0.8,0.7,0.6,0.6,inglés
That's What I Like,Bruno Mars,"['pop', 'r&b', 'funk']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'fiestero']",0.9,0.9,0.9,0.1,0.8,inglés
The Adults Are Talking,The Strokes,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'tristeza']",0.6,0.5,0.5,0.7,0.6,inglés
The Blonde,TV Girl,"['indie', 'alternativo', 'punk']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'tristeza']",0.4,0.3,0.2,0.8,0.5,inglés
The Fate of Ophelia,Taylor Swift,"['pop', 'rock', 'singer-songwriter']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.5,0.7,0.2,0.1,0.8,inglés
The Lazy Song,Bruno Mars,"['pop', 'rock', 'singer-songwriter']","['relajado', 'calmado', 'chill']","['gym', 'entrenar', 'relax']",0.3,0.9,0.8,0.2,0.4,inglés
The Less I Know The Better,Tame Impala,"['indie', 'rock', 'psychedelic']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.6,0.6,0.5,0.8,0.9,inglés
The Moon Is Beautiful,橋本啓一,"['jazz', 'blues', 'classical']","['romantico', 'amoroso', 'sensual']","['casa', 'relax', 'romance']",0.2,0.8,0.1,0.9,0.3,japonés
The Night We Met,Lord Huron,"['indie', 'folk', 'singer-songwriter']","['romantico', 'amoroso', 'sensual']","['casa', 'relax', 'romance']",0.4,0.7,0.3,0.6,0.5,inglés
the prom,glaive,"['indie', 'electronic', 'lofi']","['relajado', 'calmado', 'chill']","['casa', 'relax', 'relax']",0.1,0.9,0.2,0.8,0.2,inglés
The Real Slim Shady,Eminem,"['hip-hop', 'rap', 'drill']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'social']",0.9,0.2,0.7,0.1,0.9,inglés
THE SHADE,Rex Orange County,"['indie', 'pop', 'singer-songwriter']","['relajado', 'calmado', 'chill']","['casa', 'relax', 'relax']",0.5,0.8,0.6,0.4,0.6,inglés
The View From The Afternoon,Arctic Monkeys,"['rock', 'indie', 'punk']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.7,0.5,0.4,0.3,0.8,inglés
The Winner Takes It All,ABBA,"['pop', 'rock', 'singer-songwriter']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tristeza']",0.4,0.6,0.3,0.2,0.7,inglés
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.7,ingles
There She Goes,The La's,"['rock', 'indie', 'alternativo']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'verano']",0.8,0.9,0.5,0.2,0.6,ingles
This Night Has Opened My Eyes - 2011 Remaster,The Smiths,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.7,ingles
This Side of Paradise,Coyote Theory,"['rock', 'indie', 'alternativo']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'verano']",0.8,0.9,0.5,0.2,0.6,ingles
Those Eyes,New West,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.7,ingles
TO-TO,Karina y Marina,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'verano']",0.9,0.95,0.8,0.3,0.8,espanol
Too Much To Ask,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.7,ingles
Trap Queen,Fetty Wap,"['hip-hop', 'rap', 'trap']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'verano']",0.9,0.95,0.8,0.3,0.8,ingles
Triple Impacto,Beny Jr,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'verano']",0.9,0.95,0.8,0.3,0.8,espanol
Tristella,Esperón,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.7,ingles
True Love Waits,Radiohead,"['rock', 'alternativo', 'indie']","['triste', 'melancolico', 'intenso']","['romance', 'cita', 'tristeza']",0.5,0.7,0.2,0.8,0.9,ingles
Tu Calorro,Estopa,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.8,0.9,0.2,0.6,espanol
Tu jardín con enanitos,Melendi,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.8,0.9,0.2,0.6,espanol
TU TA RICA,FloyyMenor,"['hip-hop', 'rap', 'trap']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'concentracion']",0.8,0.4,0.5,0.6,0.8,espanol
Two Birds,Regina Spektor,"['indie', 'alternativo', 'singer-songwriter']","['triste', 'melancolico', 'intenso']","['romance', 'cita', 'tristeza']",0.5,0.7,0.2,0.8,0.9,ingles
Vienna,Ultravox,"['rock', 'alternativo', 'indie']","['triste', 'melancolico', 'intenso']","['romance', 'cita', 'tristeza']",0.5,0.7,0.2,0.8,0.9,ingles
Vino Tinto,Estopa,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.8,0.9,0.2,0.6,espanol
Volcán,José José,"['pop', 'rock', 'latin']","['triste', 'melancolico', 'intenso']","['romance', 'cita', 'tristeza']",0.5,0.7,0.2,0.8,0.9,espanol
Wacha Flequilluda,turrobaby,"['hip-hop', 'rap', 'trap']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'concentracion']",0.8,0.4,0.5,0.6,0.8,espanol
Washing Machine Heart,Mitski,"['indie', 'alternativo', 'singer-songwriter']","['triste', 'melancolico', 'intenso']","['romance', 'cita', 'tristeza']",0.5,0.7,0.2,0.8,0.9,ingles
we fell in love in october,girl in red,"['indie', 'pop', 'rock']","['romantico', 'amoroso', 'melancolico']","['romance', 'cita', 'tristeza']",0.5,0.8,0.2,0.1,0.6,inglés
we never dated,sombr,"['hip-hop', 'rap', 'urbano']","['triste', 'melancolico', 'oscuro']","['tristeza', 'desamor', 'concentracion']",0.7,0.3,0.8,0.2,0.9,inglés
welcome and goodbye,"Dream, Ivory","['pop', 'rock', 'singer-songwriter']","['romantico', 'amoroso', 'melancolico']","['romance', 'cita', 'tristeza']",0.4,0.7,0.3,0.1,0.5,inglés
West Coast,Lana Del Rey,"['pop', 'rock', 'electronic']","['romantico', 'amoroso', 'euforico']","['romance', 'cita', 'fiesta']",0.6,0.9,0.5,0.3,0.8,inglés
What About Me,ShadowStep,"['hip-hop', 'rap', 'urbano']","['triste', 'melancolico', 'oscuro']","['tristeza', 'desamor', 'concentracion']",0.8,0.2,0.9,0.2,0.95,inglés
When I Was Your Man,Bruno Mars,"['pop', 'rock', 'singer-songwriter']","['romantico', 'amoroso', 'melancolico']","['romance', 'cita', 'tristeza']",0.3,0.6,0.4,0.1,0.4,inglés
Why'd You Only Call Me When You're High?,Arctic Monkeys,"['rock', 'indie', 'pop']","['triste', 'melancolico', 'oscuro']","['tristeza', 'desamor', 'concentracion']",0.9,0.1,0.7,0.2,0.92,inglés
Without Me,Eminem,"['hip-hop', 'rap', 'urbano']","['triste', 'melancolico', 'oscuro']","['tristeza', 'desamor', 'concentracion']",0.95,0.05,0.85,0.2,0.98,inglés
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'romance']",0.8,0.9,0.6,0.3,0.85,inglés
You Make Loving Fun,Fleetwood Mac,"['rock', 'pop', 'singer-songwriter']","['romantico', 'amoroso', 'euforico']","['romance', 'cita', 'fiesta']",0.7,0.8,0.5,0.2,0.8,inglés
You Probably Couldn't See For The Lights But You Were Staring Straight At Me,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.1,0.8,ingles
You're So Dark,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.1,0.8,ingles
Young,Vacations,"['pop', 'rock', 'indie']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.9,0.2,0.6,ingles
Zapatillas,El Canto Del Loco,"['pop', 'rock', 'latin']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.9,0.2,0.6,espanol
ÜPorqué te vas?,Jeanette,"['pop', 'rock', 'latin']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.1,0.8,espanol
